FacilityId,FacilityName,FacilityDescription,VenId
185,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,185
186,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,186
187,Rest Area,Quiet seating space for guests to relax during the event.,187
188,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,188
189,DJ Booth,Professional DJ booth with mixer and audio controls.,189
190,DJ Booth,Professional DJ booth with mixer and audio controls.,190
191,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,191
192,Rest Area,Quiet seating space for guests to relax during the event.,192
193,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,193
194,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,194
195,Photo Booth,A fun station with props and camera for guest photos.,195
196,DJ Booth,Professional DJ booth with mixer and audio controls.,196
197,Sound System,High-fidelity audio setup for music and announcements.,197
198,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,198
199,Sound System,High-fidelity audio setup for music and announcements.,199
200,Sound System,High-fidelity audio setup for music and announcements.,200
201,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,201
202,Projector and Screen,HD projector and screen setup for videos and presentations.,202
203,Photo Booth,A fun station with props and camera for guest photos.,203
204,Catering Area,Designated space for food service and buffet setup.,204
205,Dance Floor,A spacious area with premium flooring and lighting for dancing.,205
206,Photo Booth,A fun station with props and camera for guest photos.,206
207,Dance Floor,A spacious area with premium flooring and lighting for dancing.,207
208,Photo Booth,A fun station with props and camera for guest photos.,208
209,Photo Booth,A fun station with props and camera for guest photos.,209
210,DJ Booth,Professional DJ booth with mixer and audio controls.,210
211,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,211
212,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,212
213,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,213
214,Rest Area,Quiet seating space for guests to relax during the event.,214
215,Projector and Screen,HD projector and screen setup for videos and presentations.,215
216,Dance Floor,A spacious area with premium flooring and lighting for dancing.,216
217,DJ Booth,Professional DJ booth with mixer and audio controls.,217
218,DJ Booth,Professional DJ booth with mixer and audio controls.,218
219,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,219
220,Dance Floor,A spacious area with premium flooring and lighting for dancing.,220
221,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,221
222,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,222
223,Dance Floor,A spacious area with premium flooring and lighting for dancing.,223
224,Rest Area,Quiet seating space for guests to relax during the event.,224
225,Catering Area,Designated space for food service and buffet setup.,225
226,Dance Floor,A spacious area with premium flooring and lighting for dancing.,226
227,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,227
228,Dance Floor,A spacious area with premium flooring and lighting for dancing.,228
229,Rest Area,Quiet seating space for guests to relax during the event.,229
230,Sound System,High-fidelity audio setup for music and announcements.,230
231,DJ Booth,Professional DJ booth with mixer and audio controls.,231
232,Dance Floor,A spacious area with premium flooring and lighting for dancing.,232
233,Projector and Screen,HD projector and screen setup for videos and presentations.,233
234,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,234
235,Sound System,High-fidelity audio setup for music and announcements.,235
236,Photo Booth,A fun station with props and camera for guest photos.,236
237,Rest Area,Quiet seating space for guests to relax during the event.,237
238,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,238
239,Projector and Screen,HD projector and screen setup for videos and presentations.,239
240,Projector and Screen,HD projector and screen setup for videos and presentations.,240
241,Sound System,High-fidelity audio setup for music and announcements.,241
242,Rest Area,Quiet seating space for guests to relax during the event.,242
243,Catering Area,Designated space for food service and buffet setup.,243
244,Sound System,High-fidelity audio setup for music and announcements.,244
245,Sound System,High-fidelity audio setup for music and announcements.,245
246,Photo Booth,A fun station with props and camera for guest photos.,246
247,Sound System,High-fidelity audio setup for music and announcements.,247
248,Catering Area,Designated space for food service and buffet setup.,248
249,Projector and Screen,HD projector and screen setup for videos and presentations.,249
250,Photo Booth,A fun station with props and camera for guest photos.,250
251,Sound System,High-fidelity audio setup for music and announcements.,251
252,Photo Booth,A fun station with props and camera for guest photos.,252
253,Photo Booth,A fun station with props and camera for guest photos.,253
254,Projector and Screen,HD projector and screen setup for videos and presentations.,254
255,Projector and Screen,HD projector and screen setup for videos and presentations.,255
256,Rest Area,Quiet seating space for guests to relax during the event.,256
257,Rest Area,Quiet seating space for guests to relax during the event.,257
258,Catering Area,Designated space for food service and buffet setup.,258
259,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,259
260,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,260
261,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,261
262,Projector and Screen,HD projector and screen setup for videos and presentations.,262
263,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,263
264,DJ Booth,Professional DJ booth with mixer and audio controls.,264
265,Catering Area,Designated space for food service and buffet setup.,265
266,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,266
267,Projector and Screen,HD projector and screen setup for videos and presentations.,267
268,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,268
269,Catering Area,Designated space for food service and buffet setup.,269
270,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,270
271,Dance Floor,A spacious area with premium flooring and lighting for dancing.,271
272,Projector and Screen,HD projector and screen setup for videos and presentations.,272
273,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,273
274,Rest Area,Quiet seating space for guests to relax during the event.,274
275,Sound System,High-fidelity audio setup for music and announcements.,275
276,Sound System,High-fidelity audio setup for music and announcements.,276
277,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,277
278,Rest Area,Quiet seating space for guests to relax during the event.,278
279,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,279
280,Dance Floor,A spacious area with premium flooring and lighting for dancing.,280
281,Photo Booth,A fun station with props and camera for guest photos.,281
282,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,282
283,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,283
284,Rest Area,Quiet seating space for guests to relax during the event.,284
285,Sound System,High-fidelity audio setup for music and announcements.,285
286,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,286
287,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,287
288,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,288
289,Sound System,High-fidelity audio setup for music and announcements.,289
290,Sound System,High-fidelity audio setup for music and announcements.,290
291,Sound System,High-fidelity audio setup for music and announcements.,291
292,Projector and Screen,HD projector and screen setup for videos and presentations.,292
293,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,293
294,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,294
295,Rest Area,Quiet seating space for guests to relax during the event.,295
296,Rest Area,Quiet seating space for guests to relax during the event.,296
297,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,297
298,Photo Booth,A fun station with props and camera for guest photos.,298
299,DJ Booth,Professional DJ booth with mixer and audio controls.,299
300,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,300
301,Rest Area,Quiet seating space for guests to relax during the event.,301
302,Catering Area,Designated space for food service and buffet setup.,302
303,DJ Booth,Professional DJ booth with mixer and audio controls.,303
304,Catering Area,Designated space for food service and buffet setup.,304
305,Catering Area,Designated space for food service and buffet setup.,305
306,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,306
307,DJ Booth,Professional DJ booth with mixer and audio controls.,307
308,Projector and Screen,HD projector and screen setup for videos and presentations.,308
309,Rest Area,Quiet seating space for guests to relax during the event.,309
310,Dance Floor,A spacious area with premium flooring and lighting for dancing.,310
311,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,311
312,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,312
313,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,313
314,Catering Area,Designated space for food service and buffet setup.,314
315,Sound System,High-fidelity audio setup for music and announcements.,315
316,Rest Area,Quiet seating space for guests to relax during the event.,316
317,DJ Booth,Professional DJ booth with mixer and audio controls.,317
318,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,318
319,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,319
320,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,320
321,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,321
322,Projector and Screen,HD projector and screen setup for videos and presentations.,322
323,DJ Booth,Professional DJ booth with mixer and audio controls.,323
324,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,324
325,Dance Floor,A spacious area with premium flooring and lighting for dancing.,325
326,Dance Floor,A spacious area with premium flooring and lighting for dancing.,326
327,Dance Floor,A spacious area with premium flooring and lighting for dancing.,327
328,DJ Booth,Professional DJ booth with mixer and audio controls.,328
329,Projector and Screen,HD projector and screen setup for videos and presentations.,329
330,Rest Area,Quiet seating space for guests to relax during the event.,330
331,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,331
332,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,332
333,DJ Booth,Professional DJ booth with mixer and audio controls.,333
334,Rest Area,Quiet seating space for guests to relax during the event.,334
335,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,335
336,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,336
337,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,337
338,Dance Floor,A spacious area with premium flooring and lighting for dancing.,338
339,DJ Booth,Professional DJ booth with mixer and audio controls.,339
340,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,340
341,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,341
342,Dance Floor,A spacious area with premium flooring and lighting for dancing.,342
343,Catering Area,Designated space for food service and buffet setup.,343
344,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,344
345,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,345
346,Dance Floor,A spacious area with premium flooring and lighting for dancing.,346
347,Projector and Screen,HD projector and screen setup for videos and presentations.,347
348,Catering Area,Designated space for food service and buffet setup.,348
349,Projector and Screen,HD projector and screen setup for videos and presentations.,349
350,DJ Booth,Professional DJ booth with mixer and audio controls.,350
351,Projector and Screen,HD projector and screen setup for videos and presentations.,351
352,DJ Booth,Professional DJ booth with mixer and audio controls.,352
353,Dance Floor,A spacious area with premium flooring and lighting for dancing.,353
354,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,354
355,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,355
356,Dance Floor,A spacious area with premium flooring and lighting for dancing.,356
357,Projector and Screen,HD projector and screen setup for videos and presentations.,357
358,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,358
359,DJ Booth,Professional DJ booth with mixer and audio controls.,359
360,Rest Area,Quiet seating space for guests to relax during the event.,360
361,Catering Area,Designated space for food service and buffet setup.,361
362,Sound System,High-fidelity audio setup for music and announcements.,362
363,DJ Booth,Professional DJ booth with mixer and audio controls.,363
364,Rest Area,Quiet seating space for guests to relax during the event.,364
365,Projector and Screen,HD projector and screen setup for videos and presentations.,365
366,Projector and Screen,HD projector and screen setup for videos and presentations.,366
367,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,367
368,DJ Booth,Professional DJ booth with mixer and audio controls.,368
369,Rest Area,Quiet seating space for guests to relax during the event.,369
370,Catering Area,Designated space for food service and buffet setup.,370
371,Rest Area,Quiet seating space for guests to relax during the event.,371
372,Rest Area,Quiet seating space for guests to relax during the event.,372
373,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,373
374,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,374
375,Dance Floor,A spacious area with premium flooring and lighting for dancing.,375
376,Sound System,High-fidelity audio setup for music and announcements.,376
377,Projector and Screen,HD projector and screen setup for videos and presentations.,377
378,DJ Booth,Professional DJ booth with mixer and audio controls.,378
379,Photo Booth,A fun station with props and camera for guest photos.,379
380,Photo Booth,A fun station with props and camera for guest photos.,380
381,Photo Booth,A fun station with props and camera for guest photos.,381
382,Projector and Screen,HD projector and screen setup for videos and presentations.,382
383,DJ Booth,Professional DJ booth with mixer and audio controls.,383
384,Rest Area,Quiet seating space for guests to relax during the event.,384
385,Sound System,High-fidelity audio setup for music and announcements.,385
386,DJ Booth,Professional DJ booth with mixer and audio controls.,386
387,Projector and Screen,HD projector and screen setup for videos and presentations.,387
388,Sound System,High-fidelity audio setup for music and announcements.,388
389,Photo Booth,A fun station with props and camera for guest photos.,389
390,Sound System,High-fidelity audio setup for music and announcements.,390
391,Projector and Screen,HD projector and screen setup for videos and presentations.,391
392,Catering Area,Designated space for food service and buffet setup.,392
393,Dance Floor,A spacious area with premium flooring and lighting for dancing.,393
394,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,394
395,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,395
396,Rest Area,Quiet seating space for guests to relax during the event.,396
397,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,397
398,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,398
399,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,399
400,Dance Floor,A spacious area with premium flooring and lighting for dancing.,400
